Intensity,DTW,Pearson,MI
0.001,0.291890675212264,0.9999669410358236,3.706984640716918
0.002,0.5636891853540371,0.9998674438698176,3.37289524584019
0.003,0.8160929650218328,0.9997025248291982,3.1205667801504844
0.004,1.044046988783955,0.999470251800464,2.9118420456577265
0.005,1.2473493226380885,0.9991719183117128,2.7402016169526133
0.006,1.4170744075138686,0.9988107929323364,2.592450191840436
0.007,1.54826473835563,0.9983785019717129,2.467475591834184
0.008,1.6548518280424331,0.997890277839138,2.358510505130541
0.009,1.7561737964580368,0.997332709073932,2.266070393068011
0.01,1.854144924204319,0.9967057098398916,2.1821237109459752
0.011,1.9763057799348795,0.996022099730138,2.107677981315807
0.012,2.111585573298812,0.9952547737177736,2.0388950084433213
0.013,2.2593565350161477,0.9944432941502936,1.973499983100335
0.014,2.418517473393804,0.9935803331225286,1.9135948801476552
0.015,2.571926345643792,0.9926329996815464,1.8615183003960745
0.016,2.735132906295488,0.9916403245782104,1.810198787051416
0.017,2.885453860983909,0.990555678677472,1.7639221690331623
0.018,3.038499199435196,0.9894307736241842,1.7201613740663593
0.019,3.201638200219855,0.9882710848857068,1.677840120927193
0.02,3.3507123974392563,0.9869912137655944,1.639052195096819
0.021,3.504386220435564,0.9856971337001916,1.6030846281632334
0.022,3.662498733319579,0.984301351193395,1.567638144419942
0.023,3.824647127057176,0.9829306102362656,1.5339679557971049
0.024,3.988983214418528,0.9813972766338852,1.5019161583736296
0.025,4.138209694566551,0.9799121181803132,1.4705165149602422
0.026,4.315624170303924,0.978286585859408,1.444227838967197
0.027,4.470104526972661,0.9767142750609076,1.4115367880055478
0.028,4.625386168221818,0.975041143868338,1.3882498866345458
0.029,4.77627107777562,0.9732843509811454,1.3602482814623316
0.03,4.952073101605713,0.971522069185715,1.3379476093715117
0.031,5.115168206556955,0.969578358169257,1.310521352802702
0.032,5.262359898360535,0.9677198439732938,1.2883107112812258
0.033,5.434197322002971,0.965742521229402,1.2673933218712252
0.034,5.582862661699053,0.9637278581542764,1.2450668828105698
0.035,5.747825737852407,0.9616060925161004,1.2255145764810704
0.036,5.90975579873008,0.959543454961832,1.20412803254996
0.037,6.066886814353763,0.9574681941125002,1.1831907705429845
0.038,6.234065342328755,0.9552977224260852,1.167101812835836
0.039,6.393304295487504,0.9530939972670052,1.148992311419333
0.04,6.563118096746558,0.950799324182546,1.131253080697663
0.041,6.708559418359275,0.9485348911574852,1.1106804261354095
0.042,6.888736152029159,0.94624179639702,1.094675272337902
0.043,7.043081308279332,0.9437336894023391,1.0784595552121683
0.044,7.207032462226585,0.9414008886778636,1.062369316254205
0.045,7.381618120046338,0.9389819451936208,1.0471187643210382
0.046,7.542832909233391,0.9362316262744748,1.0339374479525296
0.047,7.702305812453781,0.9342203637681836,1.0185941841510249
0.048,7.849413353730188,0.9312552477557982,1.0008609016449863
0.049,7.996416433399605,0.9288514943321754,0.989442724540625
0.05,8.188772316160014,0.9262716868153348,0.9756536055360224
0.051,8.336850627071357,0.9234677345295116,0.9613826970572242
0.052,8.49870323024755,0.9206887269729636,0.9468871415713284
0.053,8.645334866300612,0.9181575130484296,0.937620070692636
0.054,8.80328550400712,0.9151808149467724,0.9233098920666593
0.055,9.000535308980155,0.9128050017791406,0.913856273969621
0.056,9.148301026281509,0.909919818733112,0.8974570357823849
0.057,9.322585581126017,0.9070979627314634,0.8872562731061193
0.058,9.44425887113241,0.9043676653714676,0.8770055544984059
0.059,9.629979657161716,0.9016259428084836,0.8671446673144483
0.06,9.766700413690586,0.8985788851874938,0.855065381855596
0.061,9.951572039340094,0.8960169647713171,0.8418882298822102
0.062,10.117323785203352,0.8925582600134313,0.8340286937105832
0.063,10.26107476806624,0.8900118565597804,0.8232686843549331
0.064,10.419490919340404,0.8869352070109081,0.8136792864287559
0.065,10.583570595282712,0.8837165132197974,0.8014658901305534
0.066,10.76935393541836,0.8808850300975338,0.7911249224645177
0.067,10.908750181075382,0.878235991156151,0.7843366413899967
0.068,11.106600330870588,0.8749830827407126,0.7736003882163722
0.069,11.253127272297748,0.871663947009237,0.7650582885249212
0.07,11.403511984516433,0.868596750357293,0.7556093464219216
0.071,11.536629818989384,0.8658963976497387,0.7443736342944587
0.072,11.710295876594357,0.8627860147715252,0.738143128238556
0.073,11.872442444879216,0.8598874887448499,0.7299589156468062
0.074,12.056986686856032,0.8558756795529996,0.7206855479346385
0.075,12.209332989865748,0.8531396812150943,0.7114457221897871
0.076,12.34614772356513,0.8500180794695659,0.702594099912038
0.077,12.517226658615138,0.8477011310490807,0.6947080065049873
0.078,12.677685343295718,0.8443128527758498,0.6876542144760023
0.079,12.8385395086932,0.8400820893059385,0.6789215247552951
0.08,13.005003865627742,0.8375679374322921,0.6708901929350551
0.081,13.180404039538926,0.834441894796405,0.6658805479752036
0.082,13.343372325792338,0.8311582150654763,0.6572799919180675
0.083,13.470031135864197,0.8280837537632556,0.6513947952853492
0.084,13.63790178749508,0.8247772557593253,0.6431334574454033
0.085,13.815494022408616,0.82199655456856,0.6360854230755463
0.086,13.942611606858,0.8196640724039973,0.6286066518119978
0.087,14.133477247194488,0.8161739485966728,0.6198453208943795
0.088,14.256759666116162,0.8122308026556532,0.6150591703592957
0.089,14.429925784528178,0.8087733235549457,0.6072254037300141
0.09,14.55238036800761,0.8064725875453383,0.6017441342047797
0.091,14.728130751391577,0.803009283417239,0.5958932366606668
0.092,14.88371469165062,0.8000421210966278,0.5880332084956488
0.093,15.087056983174731,0.7966202209983321,0.5853074066867189
0.094,15.223645251868945,0.7942390520535831,0.576987142072841
