Intensity,Average Correlation,Min Correlation,Max Correlation

0.001,1.8936406042571872,1.8257995090255887,1.9545876115503713

0.002,1.8381898375178907,1.761262050946082,1.9290871021393408

0.003,1.7903317489148793,1.703361926077655,1.9056833046728456

0.004,1.7438928945555832,1.656846420573299,1.839127273427028

0.005,1.7036277775930708,1.6070207292069778,1.8115756853157636

0.006,1.6660755827138214,1.5630691910953618,1.7778055873014622

0.007,1.6317391098883811,1.519350312767164,1.7447915564799532

0.008,1.5987226774944903,1.4803869610026121,1.7188543168736612

0.009000000000000001,1.565119952731864,1.4630730980323974,1.6701947999041087

0.010000000000000002,1.5367671850584534,1.420145205477044,1.6593023130755855

0.011,1.5099631823555038,1.391825617516247,1.6363216754283914

0.012,1.4837751429273454,1.3871437570371399,1.5913643632790007

0.013000000000000001,1.459736639315615,1.3738670017290602,1.5815420150622657

0.014000000000000002,1.4340293997036928,1.3267972885942267,1.5361596303760408

0.015,1.413552127037249,1.3343251338854076,1.5245284284528084

0.016,1.3912617610703213,1.3177293366108351,1.4962129990468047

0.017,1.370481736067203,1.2874948022034334,1.4597451037231834

0.018000000000000002,1.3512465742680113,1.2721069689651534,1.4620572957187181

0.019000000000000003,1.3346173554452117,1.251622834166853,1.4274487492159966

0.02,1.3175017799846256,1.2328623756362733,1.4181122885124746

0.021,1.300649311910022,1.2148714306171462,1.4148135318507178

0.022000000000000002,1.2821953307227232,1.1915637044031113,1.3803786499234836

0.023,1.2659241309175222,1.1723582188149755,1.3678136751203607

0.024,1.2466901509385797,1.1507665261113895,1.3379851788460229

0.025,1.2300576133755694,1.1436840962282746,1.3287423000029743

0.026000000000000002,1.2095895304458641,1.1306556788419404,1.3162245773839278

0.027000000000000003,1.1929014178344404,1.0960728419272165,1.3046515246449968

0.028,1.1773916907278572,1.0803850775605557,1.295390837239627

0.029,1.1604450745345738,1.0672954761465183,1.26285773216941

0.030000000000000002,1.1435711965573951,1.0508155069716985,1.2667485846022475

0.031,1.1261837953555691,1.0413609928601395,1.2269898395820173

0.032,1.1079638103539537,1.0138833010421928,1.2456535956802937

0.033,1.0926675455651558,0.9984863990083572,1.2106314088559762

0.034,1.0747117915380822,0.990023038494933,1.182199240561649

0.035,1.0582382423701024,0.9831875483434196,1.1698414726262278

0.036000000000000004,1.0417245763091973,0.9572520244137891,1.153340993483699

0.037000000000000005,1.0287827547334611,0.9438116996889989,1.135045180952798

0.038,1.012066010276486,0.9182923864502407,1.1183139721765307

0.039,1.00030738230544,0.90928458665511,1.0815612222376794

