Intensity,Distance
0.05,4.983735347656855
0.05,5.064767866784637
0.05,4.915751459929154
0.05,4.8157519977630345
0.05,5.088533316735094
0.05,5.196463322156826
0.05,5.15735213634586
0.05,5.0220040234735155
0.05,5.052251371165864
0.05,5.039490238233035
0.05,5.126187218127114
0.05,5.091098853571039
0.05,5.746642008264059
0.05,4.987258406071148
0.05,5.107832783531819
0.05,5.158297407415288
0.05,5.306782790393448
0.05,5.0174401139706015
0.05,5.4801094735026785
0.05,5.522227861684531
0.05,5.142426813957161
0.05,5.005335369175705
0.05,5.26649569074312
0.05,4.7761006666114305
0.05,5.040222898095404
0.05,5.414253768997386
0.05,5.113831265177266
0.05,5.180069426732573
0.05,5.382265645446111
0.05,5.368177392177277
0.05,4.998991840939095
0.05,5.020920546520462
0.05,5.5748311672234365
0.05,5.339543250116025
0.05,5.228969584257146
0.05,5.497097821275043
0.05,5.144749125291605
0.05,5.384474639832458
0.05,5.082227932345094
0.05,5.05407943708374
0.05,5.2742698644267705
0.05,5.1937700348698375
0.05,5.505376911266587
0.05,5.17045106742536
0.05,4.784761297003231
0.05,5.065455467154251
0.05,5.177293482789702
0.05,5.359578074768508
0.05,5.427030706408299
0.05,5.5716194004342805
0.05,5.313829942727192
0.05,5.2822191490202295
0.05,5.24891828663881
0.05,5.233866076320999
0.05,5.39021802241536
0.05,4.899275312085463
0.05,5.043289140731594
0.05,5.327295218410211
0.05,5.538385386649575
0.05,5.407943851994374
0.05,5.346271280217959
0.05,5.446239757557237
0.05,5.406632877710844
0.05,5.234758396867891
0.05,5.066581725427245
0.05,5.224874401619361
0.05,5.229720016728245
0.05,5.655441883637953
0.05,4.9793764190844145
0.05,5.130592276929898
0.05,4.928458647688176
0.05,4.994550587520608
0.05,5.331280715765565
0.05,4.976021962528263
0.05,5.277850741863256
0.05,5.31257565796716
0.05,5.233614370275908
0.05,5.152146522948345
0.05,5.0955057026065775
0.05,5.379058792204712
0.05,5.055825960260721
0.05,5.155359841874608
0.05,5.400771117131819
0.05,5.037972691091632
0.05,5.078594077011746
0.05,4.94619443711302
0.05,4.986678374183323
0.05,5.162537049619445
0.05,5.4109073617599135
0.05,5.1620514068684065
0.05,5.3695439566546055
0.05,5.074411813854712
0.05,4.6801403993679305
0.05,5.055503357501552
0.05,5.075333738762371
0.05,5.130133875579794
0.05,5.36617168608491
0.05,5.234848026492092
0.05,4.959221017794323
0.05,4.807875799086633
0.05,5.037747871949662
0.05,4.921160308068663
0.05,5.1036622453818445
0.05,5.267827460802235
0.05,5.1652235992236974
0.05,5.195342389739133
0.05,4.980581438047266
0.05,5.517051643897699
0.05,5.081853285655252
0.05,5.164233695410355
0.05,5.304355901841945
0.05,5.228053918431781
0.05,5.118865160129347
0.05,5.245377866745577
0.05,5.397801960862263
0.05,5.45825650049939
0.05,5.267086913766096
0.05,5.531906696708174
0.05,5.208368132139577
0.05,4.996599526044344
0.05,5.241717107737996
0.05,5.580550659570568
0.05,4.861147253769173
0.05,5.093202804616927
0.05,5.196267971537117
0.05,5.600906551123344
0.05,5.124805690271249
0.05,5.407546405119901
0.05,5.235424444018031
0.05,5.21134714044122
0.05,5.001382007036525
0.05,5.309155514056979
0.05,4.97730544943998
0.05,5.163403840209126
0.05,4.934158781647366
0.05,5.468894032584865
0.05,5.245000467436121
0.05,5.547651879277767
0.05,5.333381317681215
0.05,5.151202022325183
0.05,4.856609127905585
0.05,4.775651239775066
0.05,5.35720365914762
0.05,5.175940977733665
0.05,5.415620380549783
0.05,5.327136422015519
0.05,4.796793551793585
0.05,5.1743173002616665
0.05,5.322006508279131
0.05,4.80811426440955
0.05,5.216802248335346
0.05,5.445735977980602
0.05,4.999922743088361
0.05,5.091980487428477
0.05,4.824300256860261
0.05,4.934512727542984
0.05,5.094999962305106
0.05,5.388699095154401
0.05,5.534032392305188
0.05,5.076902537993937
0.05,5.137119407970784
0.05,5.177406208286249
0.05,5.599073505483259
0.05,4.907991816433762
0.05,5.317405138550404
0.05,5.422901238404451
0.05,5.267709423386103
0.05,5.475235682455826
0.05,5.819295997945
0.05,5.535608950607928
0.05,5.508543367888541
0.05,5.289971124819543
0.05,5.457923188165223
0.05,4.9670378913241215
0.05,5.015344236038446
0.05,4.982693287863244
0.05,5.262427903718214
0.05,5.34626627974434
0.05,4.996849473562027
0.05,5.019100291301229
0.05,5.083194358641685
0.05,4.988804760767135
0.05,5.126642382062344
0.05,5.10003229884963
0.05,5.1202779822853115
0.05,5.39787977446602
0.05,5.142885349382562
0.05,5.312923209362863
0.05,5.173790555552548
0.05,4.850560903059978
0.05,5.611755204958415
0.05,5.222783587354201
0.05,5.412611007209418
0.05,5.460501666844054
0.05,4.778936321051624
0.05,4.951754873405356
0.05,5.802226398369312
0.05,5.181523338320792
0.05,5.575700678664043
0.05,5.390460713239126
0.05,5.1764531109126874
0.05,5.690588394540079
0.05,5.379089515363845
0.05,5.0101262987264334
0.05,5.33182738271131
0.05,5.109498267667786
0.05,5.243171841455313
0.05,5.072811665047208
0.05,5.123529833802286
0.05,4.717207639769596
0.05,4.976197628520132
0.05,4.870097772252322
0.05,5.128692485091099
0.05,5.132969511503531
0.05,5.855969649538391
0.05,4.944363609248908
0.05,5.403095788860489
0.05,5.302060316441078
0.05,5.218214364308816
0.05,5.098763174086773
0.05,5.603987026180533
0.05,5.255947219889658
0.05,5.3969972784036315
0.05,5.271069876550734
0.05,5.546638162475212
0.05,4.9853299724926075
0.05,5.1786004656670945
0.05,4.979645290118266
0.05,5.0315565708060985
0.05,5.415939281526774
0.05,5.265151160277197
0.05,5.487304819819585
0.05,5.2593672529333935
0.05,5.131801898551845
0.05,5.196747918460568
0.05,5.000607634091645
0.05,4.9670900941513665
0.05,5.005806911616442
0.05,5.422124034777305
0.05,4.998995509114321
0.05,5.305849700328617
0.05,5.2786196657244835
0.05,5.380484825887072
0.05,4.9779987491739774
0.05,5.1246634725490345
0.05,5.08084753482513
0.05,5.517673758466154
0.05,5.092556979766618
0.05,5.417970707169014
0.05,5.388730548244266
0.05,4.781291089073326
0.05,5.226637093039496
0.05,5.203680155399052
0.05,5.1916058267973
0.05,5.07617345914239
0.05,5.313988711037629
0.05,5.327962590008684
0.05,5.314682659006801
0.05,5.717870471009638
0.05,4.863606974947978
0.05,5.001940376337487
0.05,5.022544865825584
0.05,5.068600273764187
0.05,5.261601717431111
0.05,5.306417309288953
0.05,4.930549203266254
0.05,5.252119038256932
0.05,5.454106603466884
0.05,5.333873304126215
0.05,5.401510513133899
0.05,5.118827667296134
0.05,5.544622337561192
0.05,5.207288965297131
0.05,5.184066401581843
0.05,5.446074159097154
0.05,4.869763113030656
0.05,5.330965964036696
0.05,5.118509812749574
0.05,5.292056362223408
0.05,5.658477316723856
0.05,5.355694230042209
0.05,5.245147386679391
0.05,5.251297867620114
0.05,5.1344543599752175
0.05,5.055968613814667
0.05,5.377524218900947
0.05,5.129563552704759
0.05,4.9747947464407325
0.05,5.129002755754827
0.05,5.592918547803392
0.05,5.161807394665487
0.05,5.403516079493411
0.05,4.972766362535912
0.05,5.197921642685771
0.05,5.297206737505072
0.05,5.4417595696436765
0.05,4.8031556740202435
0.05,5.344729847678174
0.05,5.466222938105461
0.05,5.550119182606791
0.05,4.863219630808944
0.05,5.2094825308299955
0.05,5.28186161850836
0.05,5.693271404523088
0.05,5.73582308516479
0.05,5.2980568097568606
0.05,5.297658467495404
0.05,5.084329873434938
0.05,5.528561344409617
0.05,5.361611985130841
0.05,5.021855559304606
0.05,4.81150407484558
0.05,5.465932264368207
0.05,4.744948858887503
0.05,5.427264837650668
0.05,5.255671607866193
0.05,5.253652016824113
0.05,5.262261340517414
0.05,5.24646075808287
0.05,4.959164060196221
0.05,5.369822755236436
0.05,5.262192968632177
0.05,4.9185495617645225
0.05,4.950279491520009
0.05,5.1590828982989105
0.05,5.645583653579502
0.05,5.177076093178771
0.05,4.969739316838638
0.05,5.3605600497578685
0.05,5.178665164245892
0.05,4.982057004782918
0.05,5.306653553624569
0.05,5.09691925367154
0.05,5.228725840062021
0.05,5.259070954898201
0.05,5.568229349035285
0.05,5.3110367834935275
0.05,5.403347308919686
0.05,5.20011050785262
0.05,5.1533773326999475
0.05,5.364337190830193
0.05,4.833364587182407
0.05,5.2197444942792535
0.05,4.854806097715667
0.05,4.7651238673627105
0.05,5.202304705603589
0.05,5.696241579942214
0.05,4.841094267966777
0.05,5.371328617004229
0.05,4.6997314126422145
0.05,4.800815944427631
0.05,5.268614574691915
0.05,5.195163785114767
0.05,5.559646639164212
0.05,5.431961465899504
0.05,5.176702089057101
0.05,4.892979687923806
0.05,5.1735797558622085
0.05,5.158097132678955
0.05,5.1340554631426425
0.05,4.98135308134878
0.05,5.278833197435079
0.05,5.308878462167886
0.05,5.317454741909337
0.05,5.359706115886572
0.05,5.377268586494345
0.05,5.280810260043896
0.05,5.606659179102454
0.05,5.315675261339655
0.05,5.120435259971941
0.05,5.392214468822679
0.05,4.65175117325949
0.05,5.623578032815356
0.05,5.287940930727619
0.05,5.148041899373486
0.05,5.2737554643818205
0.05,5.541381226878038
0.05,4.825699406734021
0.05,5.125656273201235
0.05,5.042573293085647
0.05,5.473377895971784
0.05,5.094001510883615
0.05,5.410824936274477
0.05,5.299156705203955
0.05,5.289110176783067
0.05,5.177256916602885
0.05,5.3218750684719955
0.05,4.697939710674978
0.05,5.038368256317129
0.05,4.951329858501219
0.05,5.3686794590028075
0.05,5.449906549603359
0.05,5.474862355795225
0.05,5.103981209861843
0.05,4.9338834384224715
0.05,5.449183576296879
0.05,5.241627105713801
0.05,5.291825694079182
0.05,5.319530880478261
0.05,5.33433176554917
0.05,5.309740192073679
0.05,5.153689142327144
0.05,5.186541133051722
0.05,5.397904224366807
0.05,5.400813674637398
0.05,4.76286703980867
0.05,5.227373352394446
0.05,5.283508652964321
0.05,5.467344971716459
0.05,5.284451770559616
0.05,5.228969837081449
0.05,5.698162228839944
0.05,5.581375343293781
0.05,5.3765857444455865
0.05,4.826413496423584
0.05,5.151426018028242
0.05,4.803999473232927
0.05,5.332000819211256
0.05,5.326124591653577
0.05,5.065151410904689
0.05,5.401203360310328
0.05,5.343725240907052
0.05,5.0642620374603515
0.05,5.081261692926753
0.05,5.078077371965981
0.05,5.463216997015444
0.05,5.489600264938906
0.05,5.145897489591416
0.05,5.228021628413717
0.05,5.245674294767562
0.05,5.487642305882103
0.05,5.336100059230298
0.05,5.274290443876347
0.05,5.181298984625041
0.05,5.093416381112743
0.05,5.203272955686613
0.05,5.539884108999821
0.05,5.146243724112485
0.05,4.867256703318786
0.05,5.432992849575105
0.05,5.577546704103215
0.05,5.704535920082098
0.05,5.189898757552271
0.05,5.239732733525109
0.05,4.927246220373144
