Intensity,Average Distance,Min Distance,Max Distance
1.0,5.674312426954587,5.674312426954588,5.674312426954588
2.0,5.646290164412814,5.62173747323431,5.674312426954588
3.0,5.6341728578386086,5.596888406736431,5.665070464547123
4.0,5.626688309291491,5.590523265053482,5.658705322864174
5.0,5.622781327739194,5.5812813026460155,5.665070464547123
6.0,5.6184194039086774,5.565443460325462,5.655828502139657
7.0,5.614520268633852,5.560822479121729,5.655828502139656
8.0,5.60989605887427,5.5671876208046776,5.660449483343389
9.0,5.607590361788496,5.553555415423618,5.646586539732191
10.0,5.6058065630778655,5.546057613495368,5.655828502139656
11.0,5.6041000494696585,5.545446113261455,5.64658653973219
12.0,5.602733912254723,5.544313453016153,5.655828502139657
13.0,5.602877123869812,5.532194669884169,5.655828502139657
14.0,5.601200659523074,5.533327330129472,5.646586539732191
15.0,5.601439296874994,5.537948311333205,5.66044948334339
16.0,5.6009024819806585,5.541436632291634,5.64658653973219
17.0,5.599458991834196,5.530450509404954,5.651207520935923
18.0,5.600599593116814,5.54719027374067,5.651207520935923
19.0,5.600097940747869,5.536815651087901,5.651207520935923
20.0,5.6004386799822425,5.532194669884168,5.646586539732191
21.0,5.599890287015482,5.548934434219885,5.651207520935923
22.0,5.598941432014449,5.539692471812419,5.651207520935923
23.0,5.600247796670863,5.531963931654029,5.646586539732191
24.0,5.600078966319714,5.541436632291635,5.6448423792529745
25.0,5.600209667134109,5.535973412623849,5.651207520935923
26.0,5.59939354752973,5.543180792770849,5.646586539732191
27.0,5.600962756298075,5.543180792770849,5.646586539732191
28.0,5.600227208704889,5.546057613495368,5.651207520935923
29.0,5.5998765966067605,5.5506785946991,5.651207520935923
30.0,5.598869582585026,5.546057613495368,5.646586539732191
31.0,5.599467002500998,5.532194669884168,5.660449483343389
32.0,5.599512200649683,5.547801773974582,5.651207520935923
33.0,5.5997228005121125,5.542569292536937,5.646586539732191
34.0,5.600580991155526,5.541436632291635,5.655828502139656
35.0,5.600700634907926,5.541436632291634,5.646586539732191
36.0,5.601100406207718,5.525829528201221,5.651207520935923
37.0,5.600400763262814,5.543180792770849,5.64658653973219
38.0,5.601065844076586,5.536815651087902,5.646586539732191
39.0,5.5999148471404085,5.543180792770849,5.646586539732191
40.0,5.59974955501842,5.532194669884168,5.655828502139657
41.0,5.6020429459752705,5.541436632291635,5.655828502139657
42.0,5.60056149556736,5.538559811567117,5.646586539732191
43.0,5.601323776785532,5.544313453016153,5.651207520935923
44.0,5.601379268842413,5.53946173358228,5.646586539732191
45.0,5.601516023345805,5.544313453016152,5.646586539732191
46.0,5.601169309507099,5.5506785946991,5.646586539732191
47.0,5.601313542560885,5.539692471812419,5.651207520935923
48.0,5.601721862128184,5.535071490608686,5.655828502139657
49.0,5.602380869702264,5.549545934453797,5.651207520935923
50.0,5.601932423188385,5.521208546997487,5.66044948334339
51.0,5.602474993204381,5.538559811567117,5.646586539732191
52.0,5.6015260576384724,5.544313453016152,5.651207520935923
53.0,5.602463776343264,5.551811254944403,5.655828502139657
54.0,5.602800346297547,5.539692471812419,5.646586539732191
55.0,5.602844540928437,5.534840752378546,5.655828502139657
56.0,5.602076817521504,5.546057613495368,5.651207520935923
57.0,5.602094659289414,5.538559811567117,5.651207520935923
58.0,5.602941662248173,5.548322933985974,5.651207520935923
59.0,5.603166417105785,5.533938830363384,5.655828502139657
60.0,5.602279569476672,5.538559811567117,5.646586539732191
61.0,5.603128607017691,5.547190273740671,5.651207520935923
62.0,5.603375534202636,5.547801773974582,5.651207520935923
63.0,5.60349391615234,5.524696867955917,5.655828502139657
64.0,5.604555918991848,5.539692471812419,5.646586539732191
65.0,5.603449600524556,5.538559811567117,5.651207520935923
66.0,5.603258806073189,5.546057613495368,5.651207520935923
67.0,5.604168127706973,5.52582952820122,5.651207520935923
68.0,5.603680840040536,5.543180792770849,5.651207520935923
69.0,5.604657832197884,5.538559811567117,5.646586539732191
70.0,5.605232628085411,5.553555415423618,5.6540843416604405
71.0,5.604449476625041,5.541436632291634,5.655828502139656
72.0,5.604186421175994,5.537948311333205,5.646586539732191
73.0,5.604917509067309,5.546057613495368,5.651207520935923
74.0,5.605054173380058,5.548934434219885,5.646586539732191
75.0,5.605328093955098,5.547801773974582,5.66044948334339
76.0,5.6041273713392545,5.548934434219886,5.655828502139657
77.0,5.604850419387306,5.547801773974582,5.651207520935923
78.0,5.605023280250331,5.541436632291635,5.651207520935923
79.0,5.604835423783449,5.538559811567117,5.660449483343389
80.0,5.603663579116188,5.5506785946991,5.651207520935923
81.0,5.60549780845694,5.549545934453798,5.646586539732191
82.0,5.605857864228828,5.524696867955917,5.646586539732191
83.0,5.605616350205766,5.539692471812419,5.651207520935923
84.0,5.60573946287801,5.548934434219885,5.651207520935923
85.0,5.605787005431852,5.538559811567117,5.655828502139656
